GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long
1162564929,20240308,202403,2024,2024.1863,BUS,AIRLINE,,,,,,BUS,,,,,,,,,,,,,1,195,195,19,4,-10.0,5,1,5,-2.80898876404494,1,South Africa,SF,SF,-30.0,26.0,SF,0,,,,,,,1,South Africa,SF,SF,-30.0,26.0,SF,20240308,https://www.biznews.com/sarenewal/2024/03/08/regulatory-bullying-threatens-safair-ivo-vegter
1162565716,20240308,202403,2024,2024.1863,MNCUSA,BOEING,USA,,,,,MNC,,,,,,,,,,,,,1,190,190,19,4,-10.0,5,1,5,-2.80898876404494,1,South Africa,SF,SF,-30.0,26.0,SF,0,,,,,,,1,South Africa,SF,SF,-30.0,26.0,SF,20240308,https://www.biznews.com/sarenewal/2024/03/08/regulatory-bullying-threatens-safair-ivo-vegter
1162565720,20240308,202403,2024,2024.1863,MNCUSA,BOEING,USA,,,,,MNC,,,VNM,VIETNAMESE,VNM,,,,,,,,1,192,192,19,4,-9.5,3,1,3,-1.98863636363636,4,"Handan, Hebei, China",CH,CH10,36.5667,114.533,-1904277,4,"Handan, Hebei, China",CH,CH10,36.5667,114.533,-1904277,4,"Handan, Hebei, China",CH,CH10,36.5667,114.533,-1904277,20240308,https://saudigazette.com.sa/article/641050/World/Asia/MH370-The-families-haunted-by-one-of-aviations-greatest-mysteries
1162577354,20240308,202403,2024,2024.1863,CRM,SNATCHER,,,,,,CRM,,,AUS,AUSTRALIA,AUS,,,,,,,,1,173,173,17,4,-5.0,3,1,3,-11.7117117117118,4,"Hakea, Western Australia, Australia",AS,AS08,-32.9333,116.283,-1577236,4,"Hakea, Western Australia, Australia",AS,AS08,-32.9333,116.283,-1577236,4,"Hakea, Western Australia, Australia",AS,AS08,-32.9333,116.283,-1577236,20240308,https://www.dailymail.co.uk/news/article-13173479/Ashley-Bropho-killer-Evan-James-Martin-jailed-life-murdering-child-snatcher-Hakea-Prison.html
1162577355,20240308,202403,2024,2024.1863,CRM,SNATCHER,,,,,,CRM,,,AUSCOP,AUSTRALIA,AUS,,,,,COP,,,1,190,190,19,4,-10.0,3,1,3,-11.7117117117118,4,"Hakea, Western Australia, Australia",AS,AS08,-32.9333,116.283,-1577236,4,"Hakea, Western Australia, Australia",AS,AS08,-32.9333,116.283,-1577236,4,"Hakea, Western Australia, Australia",AS,AS08,-32.9333,116.283,-1577236,20240308,https://www.dailymail.co.uk/news/article-13173479/Ashley-Bropho-killer-Evan-James-Martin-jailed-life-murdering-child-snatcher-Hakea-Prison.html
1162577995,20240308,202403,2024,2024.1863,MNCUSA,BOEING,USA,,,,,MNC,,,ETH,ADDIS ABABA,ETH,,,,,,,,1,190,190,19,4,-10.0,5,1,5,-5.42168674698795,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20240308,https://www.clare.fm/podcasts/naoise-ryan-fifth-anniversary-mick-ryans-passing-air-alaska-incident/
1162600041,20240308,202403,2024,2024.1863,MIL,AIR FORCE,,,,,,MIL,,,MNCUSA,BOEING,USA,,,,,MNC,,,0,195,195,19,4,-10.0,10,1,10,-1.36705399863294,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20240308,https://techxplore.com/news/2024-03-high-energy-laser-weapons.html
1162608916,20240308,202403,2024,2024.1863,BUS,AIRLINE,,,,,,BUS,,,USA,FLORIDA,USA,,,,,,,,1,193,193,19,4,-10.0,24,2,24,-2.84900284900285,3,"Newark Liberty International Airport, New Jersey, United States",US,USNJ,40.6941,-74.1787,884847,3,"Newark Liberty International Airport, New Jersey, United States",US,USNJ,40.6941,-74.1787,884847,2,"New Jersey, United States",US,USNJ,40.314,-74.5089,NJ,20240308,https://www.aol.com/united-airlines-flight-rolls-off-175522131.html
1162619069,20240308,202403,2024,2024.1863,MNCUSABUS,BOEING,USA,,,,,MNC,BUS,,USA,HOUSTON,USA,,,,,,,,1,192,192,19,4,-9.5,17,1,10,0.0,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,20240308,https://www.flightaware.com/squawks/view/1/today/popular/95245/United_Airlines_Boeing_737_MAX_8_rolls_into_soft_ground_after_landing_at_Houston_Airport
1162621406,20240308,202403,2024,2024.1863,MIL,FIGHTER JET,,,,,,MIL,,,LBN,LEBANON,LBN,,,,,,,,1,190,190,19,4,-10.0,20,1,20,-4.02298850574713,4,"Marwahin, Liban-Sud, Lebanon",LE,LE06,33.1089,35.2758,-807301,4,"Marwahin, Liban-Sud, Lebanon",LE,LE06,33.1089,35.2758,-807301,4,"Marwahin, Liban-Sud, Lebanon",LE,LE06,33.1089,35.2758,-807301,20240308,http://www.israelnationalnews.com/news/386461
